day,local_time,assessment_number,mean_daily_temp, dew_ points, wind_km_h),ws,ws_sd,wd,wd_sd, cummulative_rain_since_9am,rain_mm,wet_hours,rh,location
1,27/06/2020 0:00,NA,3,0.6,5.4,1.5,NA,185,NA,0,0,NA,84,Tosari
1,27/06/2020 0:15,NA,4.5,1.6,3,0.83,NA,128,NA,0,0,NA,81,Tosari
1,27/06/2020 0:30,NA,4.2,0.3,2.5,0.69,NA,45,NA,0,0,NA,75,Tosari
1,27/06/2020 0:45,NA,3.3,0.3,4.4,1.22,NA,89,NA,0,0,NA,81,Tosari
1,27/06/2020 1:00,NA,3.7,1.4,6.9,1.92,NA,124,NA,0,0,NA,85,Tosari
1,27/06/2020 1:15,NA,3.7,1.5,6.3,1.75,NA,128,NA,0,0,NA,85,Tosari
1,27/06/2020 1:30,NA,3.3,1.2,6.4,1.78,NA,142,NA,0,0,NA,85,Tosari
1,27/06/2020 1:45,NA,2.6,0.5,7.7,2.14,NA,144,NA,0,0,NA,86,Tosari
1,27/06/2020 2:00,NA,2.1,0.1,6.7,1.86,NA,131,NA,0,0,NA,86,Tosari
1,27/06/2020 2:15,NA,2.2,0.8,6.5,1.81,NA,128,NA,0,0,NA,90,Tosari
1,27/06/2020 2:30,NA,3.1,1.5,6.5,1.81,NA,124,NA,0,0,NA,89,Tosari
1,27/06/2020 2:45,NA,3.4,1.8,6,1.67,NA,127,NA,0,0,NA,89,Tosari
1,27/06/2020 3:00,NA,3.6,2,5.6,1.56,NA,118,NA,0,0,NA,89,Tosari
1,27/06/2020 3:15,NA,4,2.4,8.4,2.33,NA,121,NA,0,0,NA,89,Tosari
1,27/06/2020 3:30,NA,4.1,2.5,7.1,1.97,NA,120,NA,0,0,NA,89,Tosari
1,27/06/2020 3:45,NA,3.9,2.7,5.6,1.56,NA,109,NA,0,0,NA,91,Tosari
1,27/06/2020 4:00,NA,5.4,4.3,8.9,2.47,NA,103,NA,0,0,NA,92,Tosari
1,27/06/2020 4:15,NA,7,5.6,13.3,3.69,NA,100,NA,0,0,NA,90,Tosari
1,27/06/2020 4:30,NA,7.3,5.7,13.8,3.83,NA,97,NA,0,0,NA,89,Tosari
1,27/06/2020 4:45,NA,7.3,5.7,12.3,3.42,NA,97,NA,0,0,NA,89,Tosari
1,27/06/2020 5:00,NA,7,5.5,11.9,3.31,NA,96,NA,0,0,NA,90,Tosari
1,27/06/2020 5:15,NA,6.9,5.5,11.4,3.17,NA,95,NA,0,0,NA,90,Tosari
1,27/06/2020 5:30,NA,6.7,5.3,10.9,3.03,NA,91,NA,0,0,NA,90,Tosari
1,27/06/2020 5:45,NA,6.4,5.1,10.2,2.83,NA,91,NA,0,0,NA,91,Tosari
1,27/06/2020 6:00,NA,6.3,4.9,9.2,2.56,NA,96,NA,0,0,NA,91,Tosari
1,27/06/2020 6:15,NA,6.2,5,9.9,2.75,NA,94,NA,0,0,NA,92,Tosari
1,27/06/2020 6:30,NA,6.2,5,10.4,2.89,NA,94,NA,0,0,NA,92,Tosari
1,27/06/2020 6:45,NA,6,4.9,10.8,3,NA,92,NA,0,0,NA,92,Tosari
1,27/06/2020 7:00,NA,6,4.9,10.9,3.03,NA,91,NA,0,0,NA,92,Tosari
1,27/06/2020 7:15,NA,6.3,5.1,11.7,3.25,NA,92,NA,0,0,NA,92,Tosari
1,27/06/2020 7:30,NA,6.8,5.5,11.6,3.22,NA,93,NA,0,0,NA,91,Tosari
1,27/06/2020 7:45,NA,7.3,5.7,11.9,3.31,NA,92,NA,0,0,NA,89,Tosari
1,27/06/2020 8:00,NA,7.8,5.9,12.2,3.39,NA,92,NA,0,0,NA,87,Tosari
